,S&P 500,VIX
2019-06-10,2886.72998046875,15.9399995803833
2019-06-11,2885.719970703125,15.989999771118164
2019-06-12,2879.840087890625,15.90999984741211
2019-06-13,2891.639892578125,15.81999969482422
2019-06-14,2886.97998046875,15.279999732971191
2019-06-17,2889.669921875,15.350000381469728
2019-06-18,2917.75,15.149999618530272
2019-06-19,2926.4599609375,14.329999923706056
2019-06-20,2954.179931640625,14.75
2019-06-21,2950.4599609375,15.399999618530272
2019-06-24,2945.35009765625,15.260000228881836
2019-06-25,2917.3798828125,16.280000686645508
2019-06-26,2913.780029296875,16.209999084472656
2019-06-27,2924.919921875,15.81999969482422
2019-06-28,2941.760009765625,15.079999923706056
2019-07-01,2964.330078125,14.0600004196167
2019-07-02,2973.010009765625,12.93000030517578
2019-07-03,2995.820068359375,12.56999969482422
2019-07-04,2995.820068359375,12.56999969482422
2019-07-05,2990.409912109375,13.279999732971191
2019-07-08,2975.949951171875,13.960000038146973
2019-07-09,2979.6298828125,14.09000015258789
2019-07-10,2993.070068359375,13.029999732971191
2019-07-11,2999.909912109375,12.93000030517578
2019-07-12,3013.77001953125,12.390000343322754
2019-07-15,3014.300048828125,12.68000030517578
2019-07-16,3004.0400390625,12.859999656677246
2019-07-17,2984.419921875,13.970000267028809
2019-07-18,2995.110107421875,13.529999732971191
2019-07-19,2976.610107421875,14.449999809265137
2019-07-22,2985.030029296875,13.529999732971191
2019-07-23,3005.469970703125,12.609999656677246
2019-07-24,3019.56005859375,12.06999969482422
2019-07-25,3003.669921875,12.739999771118164
2019-07-26,3025.860107421875,12.15999984741211
2019-07-29,3020.969970703125,12.829999923706056
2019-07-30,3013.179931640625,13.9399995803833
2019-07-31,2980.3798828125,16.1200008392334
2019-08-01,2953.56005859375,17.8700008392334
2019-08-02,2932.050048828125,17.610000610351562
2019-08-05,2844.739990234375,24.59000015258789
2019-08-06,2881.77001953125,20.170000076293945
2019-08-07,2883.97998046875,19.489999771118164
2019-08-08,2938.090087890625,16.90999984741211
2019-08-09,2918.64990234375,17.969999313354492
2019-08-12,2882.699951171875,21.09000015258789
2019-08-13,2926.320068359375,17.520000457763672
2019-08-14,2840.60009765625,22.100000381469727
2019-08-15,2847.60009765625,21.18000030517578
2019-08-16,2888.679931640625,18.46999931335449
2019-08-19,2923.64990234375,16.8799991607666
2019-08-20,2900.510009765625,17.5
2019-08-21,2924.429931640625,15.800000190734863
2019-08-22,2922.949951171875,16.68000030517578
2019-08-23,2847.110107421875,19.8700008392334
2019-08-26,2878.3798828125,19.31999969482422
2019-08-27,2869.159912109375,20.309999465942383
2019-08-28,2887.93994140625,19.350000381469727
2019-08-29,2924.580078125,17.8799991607666
2019-08-30,2926.4599609375,18.979999542236328
2019-09-02,2926.4599609375,18.979999542236328
2019-09-03,2906.27001953125,19.65999984741211
2019-09-04,2937.780029296875,17.329999923706055
2019-09-05,2976.0,16.270000457763672
2019-09-06,2978.7099609375,15.0
2019-09-09,2978.429931640625,15.270000457763672
2019-09-10,2979.389892578125,15.199999809265137
2019-09-11,3000.929931640625,14.609999656677246
2019-09-12,3009.570068359375,14.220000267028809
2019-09-13,3007.389892578125,13.739999771118164
2019-09-16,2997.9599609375,14.670000076293944
2019-09-17,3005.699951171875,14.4399995803833
2019-09-18,3006.72998046875,13.949999809265137
2019-09-19,3006.7900390625,14.050000190734863
2019-09-20,2992.070068359375,15.31999969482422
2019-09-23,2991.780029296875,14.90999984741211
2019-09-24,2966.60009765625,17.049999237060547
2019-09-25,2984.8701171875,15.960000038146973
2019-09-26,2977.6201171875,16.06999969482422
2019-09-27,2961.7900390625,17.219999313354492
2019-09-30,2976.739990234375,16.239999771118164
2019-10-01,2940.25,18.559999465942383
2019-10-02,2887.610107421875,20.559999465942383
2019-10-03,2910.6298828125,19.1200008392334
2019-10-04,2952.010009765625,17.040000915527344
2019-10-07,2938.7900390625,17.860000610351562
2019-10-08,2893.06005859375,20.280000686645508
2019-10-09,2919.39990234375,18.63999938964844
2019-10-10,2938.1298828125,17.56999969482422
2019-10-11,2970.27001953125,15.579999923706056
2019-10-14,2966.14990234375,14.56999969482422
2019-10-15,2995.679931640625,13.539999961853027
2019-10-16,2989.68994140625,13.68000030517578
2019-10-17,2997.949951171875,13.789999961853027
2019-10-18,2986.199951171875,14.25
2019-10-21,3006.719970703125,14.0
2019-10-22,2995.989990234375,14.460000038146973
